"Homeworking adverts as a proportion of total adverts, deduplicated, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,5/2/19,5/9/19,5/16/19,5/23/19,5/30/19,6/6/19,6/13/19,6/20/19,6/27/19,7/4/19,7/11/19,7/18/19,7/25/19,8/1/19,8/8/19,8/15/19,8/22/19,8/29/19,9/5/19,9/12/19,9/19/19,9/26/19,10/3/19,10/10/19,10/17/19,10/24/19,10/31/19,11/7/19,11/14/19,11/22/19,11/28/19,12/5/19,12/12/19,12/19/19,12/27/19,1/3/20,1/10/20,1/16/20,1/23/20,1/30/20,2/7/20,2/13/20,2/21/20,2/27/20,3/6/20,3/12/20,3/20/20,3/27/20,4/3/20,4/9/20,4/17/20,4/24/20,5/1/20,5/7/20,5/15/20,5/22/20,5/29/20,6/5/20,6/12/20,6/19/20,6/26/20,7/3/20,7/10/20,7/17/20,7/24/20,7/31/20,8/7/20,8/14/20,8/21/20,8/28/20,9/4/20,9/11/20,9/18/20,9/25/20,10/2/20,10/9/20,10/16/20,10/23/20,10/30/20,11/6/20,11/13/20,11/20/20,11/27/20,12/4/20,12/11/20,12/18/20,12/24/20,12/31/20,1/8/21,1/15/21,1/22/21,1/29/21,2/5/21,2/12/21,2/19/21,2/26/21,3/5/21,3/12/21,3/19/21,3/26/21,4/1/21,4/9/21,4/16/21,4/23/21,4/30/21,5/7/21,5/14/21,,,,,,,,,,,,,,,,,,
All industries,2.7%,2.7%,2.7%,2.7%,2.7%,2.1%,2.2%,2.2%,2.3%,2.2%,2.2%,2.2%,2.2%,2.1%,2.2%,2.2%,2.2%,2.1%,2.2%,2.2%,2.2%,2.2%,2.3%,2.3%,2.3%,2.2%,2.2%,2.3%,2.3%,2.4%,2.4%,2.4%,2.4%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.6%,2.6%,2.7%,2.6%,2.6%,2.7%,2.7%,2.8%,3.0%,3.1%,3.4%,3.7%,3.7%,3.8%,3.9%,4.0%,4.1%,4.3%,4.6%,4.5%,4.6%,4.5%,4.6%,4.8%,4.8%,4.8%,5.1%,5.1%,5.3%,5.2%,5.4%,5.4%,5.3%,5.4%,5.8%,5.9%,6.2%,6.2%,6.2%,6.5%,6.9%,7.0%,6.7%,6.9%,7.1%,7.0%,7.1%,7.3%,7.6%,8.0%,8.3%,8.3%,8.4%,8.5%,8.4%,8.3%,8.2%,8.1%,8.0%,7.7%,7.7%,7.8%,7.7%,7.6%,7.5%,7.4%,7.2%,,,,,,,,,,,,,,,,,,
accounting / finance,1.7%,1.7%,1.7%,1.7%,1.8%,1.8%,1.9%,1.9%,1.9%,2.0%,2.0%,2.0%,2.0%,1.8%,2.0%,2.0%,2.0%,2.2%,1.9%,1.7%,1.7%,1.7%,1.7%,1.7%,1.8%,1.8%,1.7%,1.8%,1.8%,1.8%,1.8%,1.7%,1.8%,1.8%,1.9%,1.8%,1.8%,1.8%,1.8%,1.8%,1.7%,1.9%,1.9%,1.9%,1.8%,1.9%,2.0%,2.1%,2.5%,2.5%,2.8%,3.2%,3.4%,3.6%,4.0%,4.0%,4.5%,4.8%,4.9%,5.2%,5.5%,5.4%,5.5%,5.7%,6.0%,6.0%,6.0%,5.6%,6.0%,6.1%,6.1%,6.1%,6.2%,6.1%,6.8%,7.2%,7.6%,7.6%,7.5%,7.5%,7.7%,7.9%,7.9%,7.9%,7.8%,8.1%,8.1%,8.2%,8.4%,8.9%,9.4%,9.6%,9.7%,9.7%,9.8%,9.8%,9.7%,9.8%,9.8%,9.5%,9.7%,9.5%,9.4%,9.1%,9.1%,9.1%,8.9%,,,,,,,,,,,,,,,,,,
admin / clerical / secretarial,1.1%,1.2%,1.2%,1.1%,1.1%,1.1%,1.1%,1.1%,1.3%,1.1%,1.1%,1.2%,1.2%,1.2%,1.1%,1.1%,1.1%,1.1%,1.0%,1.0%,0.8%,0.9%,0.8%,0.8%,0.8%,0.7%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.9%,0.9%,0.8%,0.8%,0.9%,0.9%,1.0%,1.0%,1.0%,1.0%,0.9%,0.9%,1.0%,1.0%,1.1%,1.3%,1.3%,1.5%,2.0%,2.1%,2.8%,4.6%,4.3%,4.8%,5.5%,5.0%,4.8%,4.8%,5.0%,5.7%,5.9%,6.4%,6.5%,6.6%,6.0%,6.6%,6.6%,7.6%,5.7%,4.6%,5.0%,4.9%,5.7%,5.3%,5.0%,6.2%,6.7%,7.7%,7.6%,7.3%,7.0%,7.1%,7.0%,7.1%,6.9%,6.8%,7.6%,6.9%,7.4%,7.8%,7.8%,7.9%,7.9%,7.8%,7.8%,7.6%,7.4%,7.5%,7.3%,6.9%,7.2%,7.2%,7.1%,6.9%,,,,,,,,,,,,,,,,,,
catering / hospitality,0.3%,0.3%,0.3%,0.2%,0.3%,0.3%,0.3%,0.3%,0.2%,0.2%,0.2%,0.3%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.1%,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%,0.3%,0.2%,0.2%,0.4%,0.3%,0.4%,0.3%,0.4%,0.4%,0.3%,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,0.2%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.3%,0.3%,0.2%,0.3%,0.3%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.3%,0.5%,0.4%,1.0%,0.5%,0.4%,0.5%,0.5%,0.6%,0.5%,0.5%,0.5%,0.5%,0.4%,0.3%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,,,,,,,,,,,,,,,,,,
charity / voluntary,3.2%,3.3%,3.0%,3.6%,3.6%,3.7%,3.9%,4.4%,3.4%,3.7%,4.1%,4.0%,3.9%,3.5%,4.1%,4.2%,4.3%,3.5%,4.6%,5.2%,4.9%,6.2%,6.1%,6.5%,5.5%,5.6%,4.9%,4.7%,4.6%,4.5%,4.3%,4.3%,5.1%,5.9%,6.8%,5.3%,5.3%,5.3%,5.8%,5.5%,5.7%,5.5%,5.7%,4.7%,5.2%,5.5%,6.1%,5.7%,5.1%,5.2%,5.1%,6.5%,7.0%,6.6%,5.5%,8.2%,9.6%,10.9%,10.0%,11.2%,12.5%,11.8%,12.4%,12.5%,12.1%,14.3%,15.3%,14.1%,12.1%,15.9%,14.3%,14.2%,15.2%,15.0%,14.3%,15.7%,14.9%,11.9%,11.9%,9.1%,13.0%,16.8%,15.8%,18.2%,18.0%,17.8%,21.4%,21.1%,19.5%,22.9%,22.2%,21.2%,21.5%,20.6%,20.1%,19.6%,20.9%,23.4%,23.1%,20.9%,18.0%,18.2%,18.9%,18.6%,17.5%,16.4%,16.7%,,,,,,,,,,,,,,,,,,
construction / trades,1.3%,1.3%,1.3%,1.3%,1.3%,1.2%,1.2%,1.2%,1.2%,1.2%,1.3%,1.3%,1.3%,1.3%,1.2%,1.2%,1.1%,1.1%,1.2%,1.2%,1.1%,1.0%,1.0%,1.1%,1.0%,1.1%,1.2%,1.2%,1.3%,1.3%,1.4%,1.4%,1.4%,1.4%,1.4%,1.5%,1.4%,1.4%,1.3%,1.4%,1.5%,1.4%,1.4%,1.5%,1.5%,1.5%,1.5%,1.4%,1.7%,1.8%,1.9%,1.9%,2.1%,2.2%,2.4%,2.5%,2.5%,2.5%,2.6%,2.7%,2.5%,2.4%,2.3%,2.4%,2.6%,2.6%,2.2%,2.1%,2.1%,2.1%,2.4%,2.2%,2.5%,2.4%,2.8%,3.0%,2.9%,3.0%,2.9%,3.1%,3.2%,3.5%,3.3%,3.6%,3.4%,3.6%,3.5%,3.7%,3.9%,4.0%,3.9%,3.7%,3.8%,3.7%,3.5%,3.3%,3.1%,3.2%,3.1%,3.0%,3.0%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,,,,,,,,,,,,,,,,,,
creative / design / arts & media,2.5%,2.4%,2.3%,2.1%,2.2%,2.1%,2.1%,2.2%,2.4%,2.3%,2.4%,2.2%,2.3%,2.6%,2.9%,2.7%,2.7%,2.8%,2.1%,2.1%,2.1%,2.2%,1.9%,1.7%,1.9%,1.7%,1.6%,1.5%,1.4%,1.3%,1.3%,1.2%,1.3%,1.3%,1.4%,1.4%,1.5%,1.5%,1.6%,1.7%,1.7%,1.5%,1.5%,1.5%,1.6%,1.8%,1.9%,2.0%,2.5%,2.8%,3.0%,3.9%,3.6%,3.7%,3.5%,4.1%,5.1%,4.2%,4.6%,4.8%,4.5%,5.0%,4.7%,5.5%,5.5%,5.7%,6.3%,5.7%,5.5%,5.3%,5.8%,6.5%,6.4%,5.9%,5.5%,5.7%,6.2%,6.4%,6.7%,6.6%,7.2%,8.0%,6.9%,6.3%,6.9%,7.7%,8.2%,8.3%,8.8%,8.5%,9.1%,8.6%,8.7%,8.9%,8.9%,9.0%,7.4%,7.1%,7.9%,7.9%,7.7%,8.0%,8.1%,8.0%,8.0%,8.1%,8.2%,,,,,,,,,,,,,,,,,,
customer service / support,1.3%,1.3%,1.4%,1.2%,1.3%,1.2%,1.1%,1.1%,1.2%,1.1%,1.0%,1.1%,1.1%,1.3%,1.3%,1.4%,1.3%,1.3%,1.2%,1.2%,1.1%,1.2%,1.4%,1.3%,1.5%,1.5%,1.4%,1.3%,1.2%,1.1%,1.0%,1.1%,1.2%,1.3%,1.4%,1.2%,1.2%,1.2%,1.1%,1.2%,1.1%,1.1%,1.3%,1.3%,1.2%,1.2%,1.1%,1.5%,2.0%,2.6%,3.6%,5.1%,6.1%,6.5%,7.8%,8.4%,9.0%,8.1%,7.3%,7.2%,7.4%,7.4%,6.9%,8.0%,7.9%,6.8%,7.1%,7.5%,7.4%,8.1%,6.3%,6.5%,8.9%,8.5%,10.0%,10.4%,10.5%,10.6%,10.6%,9.9%,9.8%,10.5%,11.4%,10.9%,11.9%,11.1%,11.1%,11.5%,11.1%,12.5%,12.0%,12.0%,11.2%,11.3%,10.8%,10.4%,10.5%,11.0%,11.0%,11.0%,10.6%,10.1%,10.1%,9.5%,10.0%,10.4%,10.2%,,,,,,,,,,,,,,,,,,
domestic help,0.9%,0.8%,1.0%,0.8%,1.1%,1.1%,1.1%,1.1%,1.2%,1.2%,1.1%,1.1%,1.2%,1.2%,1.1%,1.2%,1.1%,1.5%,1.0%,0.4%,0.3%,0.3%,0.4%,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.2%,0.3%,0.4%,0.3%,0.3%,0.3%,0.2%,0.3%,0.3%,0.3%,0.3%,0.3%,0.4%,0.4%,0.6%,0.5%,0.4%,0.5%,0.5%,0.3%,0.2%,0.1%,0.1%,0.1%,0.2%,0.3%,0.3%,0.2%,0.3%,0.3%,0.2%,0.3%,0.2%,0.2%,0.3%,0.2%,0.2%,0.3%,0.3%,0.2%,0.2%,0.3%,0.3%,0.4%,0.4%,0.3%,0.4%,0.4%,0.5%,0.5%,0.7%,0.4%,0.5%,0.6%,0.6%,0.5%,0.4%,0.4%,0.4%,0.4%,0.3%,0.3%,0.4%,0.3%,0.3%,0.2%,0.3%,,,,,,,,,,,,,,,,,,
education / teaching,9.7%,8.9%,9.3%,8.8%,9.2%,0.6%,0.6%,0.7%,0.6%,0.7%,0.7%,0.8%,0.7%,0.7%,0.7%,0.8%,0.8%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,1.1%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,0.6%,0.7%,0.7%,0.7%,0.7%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.6%,0.6%,0.7%,0.7%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.7%,0.7%,0.9%,1.0%,1.0%,1.1%,1.0%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,0.8%,1.0%,1.0%,0.9%,1.0%,1.1%,1.0%,1.0%,1.0%,1.0%,1.1%,1.3%,1.4%,1.5%,1.7%,1.6%,1.6%,2.0%,2.3%,1.6%,1.6%,1.6%,1.5%,1.5%,1.6%,1.6%,1.8%,1.7%,1.6%,1.5%,,,,,,,,,,,,,,,,,,
energy / oil & gas,1.7%,1.5%,1.4%,1.5%,1.8%,1.9%,1.5%,1.1%,1.9%,1.7%,1.6%,1.8%,1.7%,1.7%,1.6%,1.7%,1.7%,2.1%,1.9%,1.3%,1.6%,1.7%,1.6%,1.7%,1.5%,1.7%,1.6%,1.8%,1.9%,2.1%,2.2%,2.5%,2.1%,1.7%,1.3%,1.2%,1.3%,1.5%,1.1%,1.2%,1.3%,1.3%,1.4%,1.3%,1.1%,1.3%,1.2%,0.9%,1.2%,1.1%,1.7%,2.4%,1.9%,1.9%,1.8%,1.6%,1.6%,2.5%,2.9%,2.5%,3.3%,2.9%,3.7%,3.6%,3.0%,2.8%,3.4%,3.9%,3.2%,4.2%,4.1%,4.1%,4.2%,4.1%,4.1%,3.8%,3.2%,3.2%,3.6%,3.6%,3.5%,4.1%,3.3%,4.0%,3.9%,4.8%,5.6%,6.4%,5.2%,4.3%,4.7%,4.4%,4.0%,3.8%,4.3%,4.8%,5.6%,5.6%,5.5%,4.7%,4.6%,5.2%,5.1%,4.8%,4.9%,4.9%,5.1%,,,,,,,,,,,,,,,,,,
engineering,2.6%,2.7%,2.7%,2.6%,2.6%,2.5%,2.5%,2.6%,2.8%,2.5%,2.5%,2.4%,2.5%,2.5%,2.4%,2.3%,2.2%,2.3%,2.0%,2.0%,2.0%,2.0%,2.0%,2.1%,2.3%,2.0%,2.0%,2.0%,2.0%,2.1%,2.1%,2.2%,2.1%,2.1%,2.0%,1.9%,1.9%,1.9%,1.9%,2.0%,2.1%,2.1%,2.2%,2.1%,2.2%,2.3%,2.2%,2.1%,2.1%,2.2%,2.1%,2.2%,2.3%,2.2%,2.0%,2.2%,2.2%,2.3%,2.4%,2.7%,2.9%,3.2%,3.2%,3.1%,3.2%,3.2%,3.2%,3.3%,3.2%,3.1%,3.2%,3.2%,3.2%,3.1%,3.2%,3.3%,3.3%,3.4%,3.5%,3.6%,3.6%,3.6%,3.4%,3.3%,3.3%,3.3%,3.3%,3.2%,3.3%,3.7%,3.7%,3.8%,3.8%,3.9%,3.9%,4.0%,4.0%,3.9%,3.8%,3.8%,3.9%,4.0%,4.1%,4.0%,4.0%,4.0%,3.8%,,,,,,,,,,,,,,,,,,
facilities / maintenance,1.8%,0.9%,0.8%,1.8%,0.9%,1.2%,1.0%,1.2%,1.0%,0.9%,0.8%,0.8%,0.8%,1.1%,0.9%,0.8%,1.3%,1.1%,0.4%,0.4%,0.4%,0.4%,0.5%,0.6%,0.6%,0.5%,0.7%,0.6%,0.6%,0.6%,0.6%,0.5%,0.6%,0.7%,0.7%,0.8%,0.8%,0.9%,0.8%,0.8%,0.7%,0.6%,0.6%,0.7%,0.7%,0.8%,0.7%,0.6%,0.4%,0.7%,0.7%,0.6%,0.3%,0.5%,0.4%,1.0%,0.7%,0.6%,0.6%,0.6%,0.6%,0.3%,0.3%,0.5%,0.9%,1.0%,0.8%,0.8%,0.6%,0.4%,0.6%,0.4%,0.7%,0.5%,0.6%,0.5%,0.6%,0.7%,0.8%,0.7%,0.5%,0.7%,0.6%,0.7%,1.3%,0.9%,0.9%,0.9%,1.1%,1.0%,0.8%,0.8%,0.7%,0.5%,0.6%,0.7%,0.9%,0.8%,0.7%,0.8%,0.9%,1.2%,1.1%,1.3%,1.2%,1.2%,1.0%,,,,,,,,,,,,,,,,,,
graduate,1.8%,1.9%,1.8%,1.6%,1.5%,1.5%,1.6%,1.4%,1.5%,1.6%,1.6%,1.5%,1.5%,1.5%,1.4%,1.4%,1.3%,1.5%,1.3%,1.2%,1.0%,1.1%,0.9%,0.9%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.5%,1.5%,1.5%,1.6%,1.6%,1.6%,1.7%,1.7%,1.7%,1.5%,1.4%,1.5%,1.3%,1.4%,1.2%,1.0%,1.2%,1.8%,1.9%,1.6%,1.9%,2.5%,3.1%,3.5%,3.6%,3.3%,3.1%,3.7%,2.7%,2.9%,2.4%,2.2%,1.7%,1.9%,1.8%,1.5%,2.0%,2.1%,2.4%,2.6%,2.6%,2.6%,2.8%,3.0%,2.9%,3.3%,3.3%,3.1%,3.3%,3.3%,3.8%,4.4%,3.2%,3.0%,3.2%,4.4%,4.5%,4.5%,4.4%,5.4%,7.0%,6.3%,5.9%,6.6%,7.3%,5.8%,5.6%,5.9%,6.0%,6.0%,6.1%,6.6%,6.4%,6.3%,6.2%,6.0%,,,,,,,,,,,,,,,,,,
healthcare + social care,2.2%,2.2%,2.3%,2.3%,1.9%,2.2%,2.3%,2.4%,2.3%,2.3%,2.1%,2.2%,2.3%,2.2%,2.3%,2.4%,2.4%,2.3%,2.0%,2.0%,2.0%,2.1%,2.3%,2.3%,2.2%,2.2%,2.1%,2.2%,2.3%,2.4%,2.5%,2.5%,2.5%,2.6%,2.6%,2.4%,2.4%,2.4%,2.5%,2.3%,2.3%,2.4%,2.6%,2.6%,2.7%,2.6%,2.6%,2.6%,2.6%,2.8%,3.0%,3.1%,3.1%,3.0%,3.0%,2.9%,2.7%,2.8%,3.0%,3.0%,3.1%,3.3%,3.5%,3.4%,3.2%,3.1%,3.1%,3.1%,3.3%,3.4%,3.4%,3.6%,3.6%,3.5%,3.9%,3.8%,4.0%,3.7%,3.6%,4.0%,4.1%,3.9%,3.7%,3.9%,4.0%,3.5%,3.7%,3.8%,4.0%,4.0%,4.2%,4.2%,4.2%,4.2%,4.2%,4.1%,3.9%,3.9%,3.9%,4.0%,4.0%,4.1%,4.2%,4.3%,4.3%,4.3%,4.1%,,,,,,,,,,,,,,,,,,
hr & recruitment,2.1%,2.1%,2.0%,1.8%,1.8%,1.9%,2.0%,2.0%,1.9%,1.9%,1.9%,1.9%,2.1%,2.1%,2.2%,2.2%,2.1%,2.1%,1.9%,2.1%,2.0%,2.1%,1.8%,2.0%,2.2%,2.1%,2.1%,2.1%,2.2%,2.2%,2.3%,2.4%,2.5%,2.5%,2.6%,2.5%,2.4%,2.4%,2.8%,2.8%,2.8%,2.8%,2.6%,2.9%,2.9%,3.0%,2.7%,2.9%,3.0%,2.8%,2.5%,2.7%,3.4%,4.5%,4.8%,4.9%,5.9%,6.2%,6.9%,6.7%,7.4%,8.0%,9.0%,8.5%,9.2%,9.0%,9.2%,10.0%,10.2%,10.0%,10.6%,10.0%,9.9%,11.2%,11.1%,11.1%,11.9%,10.9%,11.1%,11.2%,11.1%,12.2%,12.4%,12.4%,12.6%,12.0%,12.1%,12.3%,12.1%,12.3%,12.8%,13.1%,13.3%,13.8%,14.4%,15.0%,14.4%,14.0%,14.2%,13.8%,13.9%,13.6%,13.5%,12.6%,12.7%,12.7%,12.7%,,,,,,,,,,,,,,,,,,
it / computing / software,5.2%,5.4%,5.7%,6.0%,6.3%,6.2%,6.0%,6.2%,6.2%,6.0%,6.1%,5.9%,6.1%,6.0%,6.1%,6.2%,6.3%,6.1%,6.1%,6.2%,6.2%,6.3%,6.2%,6.4%,6.3%,6.2%,6.1%,6.3%,6.4%,6.5%,6.6%,6.6%,6.7%,6.7%,6.8%,6.8%,6.8%,6.8%,6.6%,6.8%,6.9%,6.8%,6.9%,7.0%,6.8%,6.9%,7.0%,7.4%,8.2%,8.3%,9.0%,9.5%,9.5%,9.8%,10.0%,10.6%,11.1%,10.9%,11.4%,12.2%,12.2%,12.4%,12.3%,12.7%,12.5%,13.3%,16.7%,16.9%,17.5%,17.1%,18.0%,17.8%,17.4%,17.5%,18.2%,18.5%,18.7%,18.9%,18.9%,18.7%,19.1%,19.1%,19.0%,19.2%,19.4%,19.8%,19.5%,19.4%,19.8%,20.1%,19.9%,19.5%,19.6%,19.9%,20.0%,20.1%,19.8%,19.8%,20.1%,20.1%,20.2%,20.0%,19.9%,19.8%,19.9%,20.0%,20.1%,,,,,,,,,,,,,,,,,,
